,firstwall_thickness,firstwall_armour_material,firstwall_structural_material,firstwall_coolant_material,blanket_thickness,blanket_structural_material,blanket_breeder_material,blanket_multiplier_material,blanket_coolant_material,blanket_breeder_li6_enrichment_fraction,blanket_breeder_packing_fraction,blanket_multiplier_packing_fraction,blanket_multiplier_fraction,blanket_breeder_fraction,blanket_structural_fraction,blanket_coolant_fraction,firstwall_armour_fraction,firstwall_structural_fraction,firstwall_coolant_fraction,tbr,tbr_error,sim_time
0,5.877221993832044,tungsten,SiC,H2O,211.2158619590377,eurofer,Li2TiO3,Be12Ti,H2O,0.9713662785860379,0.18543695311495625,0.5445685373527358,0.4916608371212494,0.032699738890666415,0.2102640424251596,0.26537538156292473,0.3875284379002268,0.4277115298336402,0.18476003226613288,0.4788990519966541,0.0022052084180135753,8.176694631576536
1,0.005504758308390034,tungsten,SiC,H2O,269.03388618990607,eurofer,Li2TiO3,Be12Ti,H2O,0.7798505301282492,0.4485901835291117,0.6152267466255253,0.15716400844710726,0.6810149280894708,0.04245435030601374,0.11936671315740832,0.2409462262396002,0.1899304313775977,0.5691233423828022,1.17120555214105,0.002595409048697067,6.684452295303345
2,3.2654948423597663,tungsten,SiC,H2O,98.37284403545854,eurofer,Li2TiO3,Be12Ti,H2O,0.7799900698432983,0.230381421083082,0.7732634289236758,0.14052918976447726,0.2392755443267495,0.3747859622774285,0.2454093036313449,0.3573675546400634,0.3306557071122296,0.31197673824770705,0.8832602917108605,0.0034907479251590737,7.5582334995269775
3,14.345966997829793,tungsten,SiC,H2O,429.0448997514754,eurofer,Li2TiO3,Be12Ti,H2O,0.2600715007872041,0.4550778494376692,0.16817193015147347,0.17015811650905469,0.039189241957224286,0.7729363230105994,0.017716318523121555,0.12481601783311193,0.058248224195423484,0.8169357579714647,0.17241475458914995,0.0005269801940601557,9.204049825668337
4,9.457026638427566,tungsten,SiC,H2O,169.76829786191604,eurofer,Li2TiO3,Be12Ti,H2O,0.28884435631586025,0.29360652141592114,0.4057416449555793,0.15345769653555366,0.5991485590118072,0.17798252210407406,0.06941122234856527,0.3939438460035109,0.4600907477356275,0.14596540626086155,0.7934661119088671,0.0027493737186035107,7.740964651107787
5,4.3366989227725075,tungsten,SiC,H2O,116.14071253076295,eurofer,Li2TiO3,Be12Ti,H2O,0.6135809485530763,0.927461199706289,0.8067966334079492,0.06450426340465992,0.2418625917861143,0.4370663919661321,0.2565667528430936,0.7401623179105377,0.20315141300138825,0.05668626908807404,1.0282048925475866,0.003532411131202461,7.336460590362549
6,17.87307758757414,tungsten,SiC,H2O,277.6741724090002,eurofer,Li2TiO3,Be12Ti,H2O,0.6967126818892054,0.6908622604329916,0.9060166242491592,0.1702363609222924,0.2348292206735754,0.1726794856134553,0.42225493279067694,0.31807702064231264,0.10718814250302727,0.5747348368546602,0.9849153688856812,0.002574627556729903,7.5673668384552
7,10.241240833832574,tungsten,SiC,H2O,339.925804921107,eurofer,Li2TiO3,Be12Ti,H2O,0.8821453079867076,0.2853917225428574,0.4876216142664776,0.1572628909983914,0.2515967494173565,0.16811364260682365,0.4230267169774285,0.7407379061272791,0.02482044955522991,0.234441644317491,0.9283294371578449,0.002801193882449565,7.930554389953612
8,15.686816500547804,tungsten,SiC,H2O,436.2669522658073,eurofer,Li2TiO3,Be12Ti,H2O,0.11895675862239008,0.6403690576970532,0.5734636103803201,0.08523663322088391,0.08587890059046667,0.5409889897792999,0.2878954764093496,0.5814500845243609,0.14043127042947526,0.278118645046164,0.16917874047063622,0.0005392024483290049,9.30525255203247
9,4.325381051916153,tungsten,SiC,H2O,366.6048011389611,eurofer,Li2TiO3,Be12Ti,H2O,0.4794332165169756,0.7588124084602348,0.39914382046615415,0.3284903426178382,0.02918411796732062,0.4203811453761408,0.2219443940387004,0.0032347960622391646,0.7159716214822724,0.2807935824554885,0.473825692686829,0.0017247276209153358,7.8464195728302
10,2.1418915802145504,tungsten,SiC,H2O,452.4268338115786,eurofer,Li2TiO3,Be12Ti,H2O,0.020963997561326275,0.2241607350074586,0.8241071517070673,0.128751037825629,0.1990910491645841,0.5149914126018671,0.1571665004079198,0.1770398692493913,0.2316898879313279,0.5912702428192806,0.07033887284383049,0.00034889565212113487,8.623932838439941
11,4.2720125765604315,tungsten,SiC,H2O,296.4763944794851,eurofer,Li2TiO3,Be12Ti,H2O,0.9873850604460506,0.017264623930075773,0.4218406324582843,0.6358895494088713,0.2338785413084712,0.05160326482246797,0.07862864446018952,0.018817955750454068,0.603631586643133,0.3775504576064129,1.030090140582846,0.003449642624612249,8.143855571746826
12,0.5028135906848519,tungsten,SiC,H2O,387.69645308387635,eurofer,Li2TiO3,Be12Ti,H2O,0.7724124471249838,0.716339043950687,0.8741725629840035,0.1087667826613896,0.4009633068109565,0.1204878796998972,0.3697820308277566,0.1257302268238021,0.4596157781175104,0.4146539950586875,1.1425678553793606,0.002993194565512705,6.210255861282349
13,15.260479484507847,tungsten,SiC,H2O,3.511514705115959,eurofer,Li2TiO3,Be12Ti,H2O,0.9497338109103216,0.4453898305433862,0.8142845078859492,0.1457130971416466,0.15556384167618234,0.3301284524568473,0.3685946087253237,0.3412904762761176,0.2194998982533536,0.4392096254705289,0.01954930806812036,0.00012748370204731277,6.31867527961731
