firstwall_thickness,firstwall_armour_material,firstwall_structural_material,firstwall_coolant_material,blanket_thickness,blanket_structural_material,blanket_breeder_material,blanket_multiplier_material,blanket_coolant_material,blanket_breeder_li6_enrichment_fraction,blanket_breeder_packing_fraction,blanket_multiplier_packing_fraction,blanket_multiplier_fraction,blanket_breeder_fraction,blanket_structural_fraction,blanket_coolant_fraction,firstwall_armour_fraction,firstwall_structural_fraction,firstwall_coolant_fraction,tbr,tbr_error,sim_time
10.919877255638742,tungsten,eurofer,H2O,381.08316340987847,SiC,Li4SiO4,Be12Ti,He,0.17565802303804467,0.7521598420935702,0.034932098715244164,0.2707978494428261,0.03710058744700436,0.00658366889656279,0.6855178942136068,0.8230137680436823,0.00864610921545238,0.16834012274086535,0.3707876316125436,0.001560455659538999,8.15526270866394
1.6577076294410742,tungsten,SiC,D2O,308.5545739933674,eurofer,Li2TiO3,Be12Ti,H2O,0.8572576266632644,0.9659483194355398,0.2020413108625313,0.3084354824885531,0.3425130832295182,0.009197828343533648,0.33985360593839514,0.1176352289443354,0.5224166127594587,0.3599481582962059,1.0101693291562228,0.0032885818687935745,7.192606687545776
18.081800559873074,tungsten,SiC,He,362.48060269770247,SiC,Li2TiO3,Be12Ti,D2O,0.19289982887992985,0.4335413359609925,0.15886859175623058,0.46792883434579796,0.10807548674973504,0.30057958534041085,0.12341609356405625,0.7910808990134506,0.17552179345981836,0.0333973075267311,0.34646668578635237,0.002283051503310952,10.539103507995605
14.114730809944511,tungsten,SiC,He,328.19468779097167,eurofer,Li4SiO4,Be12Ti,He,0.03067450976851249,0.8131708759426594,0.7796065784886985,0.2617364065254528,0.1521956983301282,0.4725987902621945,0.11346910488222466,0.6011259047679643,0.04232219688191646,0.3565518983501192,0.17491248211879729,0.0005073463924924361,9.10401439666748
15.75972174994525,tungsten,SiC,H2O,5.618688722028974,SiC,Li2TiO3,Be12Ti,H2O,0.07993733111561385,0.7609565997347815,0.7160871064178238,0.263468293017184,0.18329973866024127,0.116657318783788,0.4365746495387867,0.3448813268736572,0.026082602964036455,0.6290360701623062,0.051368468075207396,0.00045571142549851427,5.99687385559082
17.13482608914756,tungsten,SiC,He,400.9105185033084,SiC,Li2TiO3,Be12Ti,He,0.6712390727908774,0.8560129856853248,0.3110196035516093,0.10867839024298882,0.2625399650936162,0.3475006205375807,0.2812810241258143,0.038051708514183935,0.08398635607727062,0.8779619354085454,0.8674512271608584,0.0024125338639901053,5.6606879234313965
0.5309217027530022,tungsten,SiC,D2O,353.8087407593924,SiC,Li4SiO4,Be,H2O,0.4579483070993506,0.6122654007072301,0.045926281347107856,0.1966937435524156,0.07357616404520673,0.542646271665711,0.1870838207366668,0.559071602913274,0.2065662057656434,0.23436219132108255,0.7095852992401878,0.0036038556886518226,5.383465766906738
10.332769817486435,tungsten,SiC,H2O,249.3044839784813,SiC,Li4SiO4,Be12Ti,D2O,0.8794812515179135,0.4347815778259733,0.4025932756886503,0.1006574249057543,0.004527173938557397,0.629386386270767,0.2654290148849212,0.009697544598404878,0.3111885666797916,0.6791138887218034,0.4327702949182058,0.0024405774987893134,6.020402669906616
3.868297220374661,tungsten,eurofer,D2O,155.25263808060674,eurofer,Li2TiO3,Be12Ti,D2O,0.21914124061860166,0.6494143696314859,0.848634227669052,0.003688774790049574,0.2950222322813905,0.4903351220015203,0.2109538709270396,0.5243123814989187,0.3844528772584809,0.09123474124260024,0.718547317388269,0.002949654916195663,7.291651248931885
13.125193566684546,tungsten,eurofer,H2O,26.376323051628013,SiC,Li2TiO3,Be12Ti,D2O,0.984926585094122,0.15897112587468654,0.03886281713624717,0.730268004453254,0.12236513279062936,0.031103671432423305,0.1162631913236933,0.11093464155189003,0.44339761138464856,0.4456677470634614,0.07654255649952393,0.0007312111346661787,6.183692693710327
14.52174388223993,tungsten,eurofer,D2O,3.342832837011533,SiC,Li2TiO3,Be12Ti,H2O,0.20069904084760534,0.31293284877922745,0.6237804270860348,0.4909927080969498,0.2231456234333178,0.2849771524780303,0.0008845159917021705,0.488066234888502,0.3745549842130213,0.1373787808984768,0.00575324227104681,4.2619095481418304e-05,7.347553491592407
1.5900311571459549,tungsten,SiC,He,2.2054042729169887,eurofer,Li4SiO4,Be,H2O,0.706520532280609,0.3830477006452163,0.8281151966221054,0.0035465628001366037,0.1907049895062126,0.2862328727239692,0.5195155749696816,0.4491280979401139,0.4669716964912646,0.08390020556862159,0.009017220279709965,0.000237134855712164,5.464468240737915
1.0713571313219659,tungsten,SiC,H2O,0.8775611565389752,eurofer,Li2TiO3,Be12Ti,He,0.2496874143155644,0.5206471170117227,0.1608015075227397,0.07432918894978048,0.1126504729983522,0.6696841783343324,0.14333615971753474,0.530946642644147,0.15757139995740158,0.31148195739845136,0.0006498684761400228,6.955183313650958e-06,5.376429319381714
16.00349799015944,tungsten,eurofer,D2O,19.82115482956737,eurofer,Li2TiO3,Be,H2O,0.8936538669021593,0.07460426339040216,0.25799317619307816,0.2434406119671856,0.493610105453533,0.046508618418947455,0.2164406641603339,0.12365965152807044,0.2678063856150628,0.6085339628568667,0.2552976954767354,0.001792436293634733,6.657172441482544
5.2463765826504725,tungsten,SiC,He,54.977801053883674,eurofer,Li2TiO3,Be12Ti,He,0.5478102934798038,0.7225807171593832,0.4694174932494213,0.0009062715013135383,0.0736797373603247,0.8589834380354516,0.06643055310291,0.07500051602692354,0.1123861126926289,0.8126133712804475,0.49306205727675856,0.0016702482966799582,7.907770872116089
